model_a,model_b,token_idx,token_id,token_str,p_a,p_b,ratio_pA_over_pB
gpt2,gpt2-medium,1,262, the,0.009817258629599633,8.037949106031558e-06,1221.363621503016
gpt2,gpt2-medium,2,4380, People,0.010772041017685191,0.4049839044788595,0.026598689228271542
gpt2,gpt2-medium,3,286, of,0.032282294383519046,0.11144310950969043,0.2896751044147056
gpt2,gpt2-medium,4,262, the,0.5047046851425868,0.7225257042166814,0.6985283460465356
gpt2,gpt2-medium,5,1578, United,0.1660773828699805,0.6011667074777611,0.27625845011738975
gpt2,gpt2-medium,6,1829, States,0.9640642029656477,0.9901136266092428,0.9736904705242726
gpt2,gpt2-medium,7,11,",",0.12441981719822114,0.4216587471868707,0.2950723020174434
gpt2,gpt2-medium,8,287, in,0.02000092384449909,0.9595104061421258,0.02084492645047613
gpt2,gpt2-medium,9,8284, Order,0.0025923421170683057,0.8354207842699362,0.003103037613953693
gpt2,gpt2-medium,10,284, to,0.8506930071836304,0.9993640654925314,0.8512343364721352
gpt2,gpt2-medium,11,1296, form,0.013585777521819336,0.9791233532415944,0.013875450398400522
gpt2,gpt2-medium,12,257, a,0.6126801230775158,0.9911377110724842,0.618158421612826
gpt2,gpt2-medium,13,517, more,0.025245769073129237,0.9976736906972926,0.025304635482052754
gpt2,gpt2-medium,14,2818, perfect,0.07696749703424094,0.9939191440300564,0.07743838872260762
gpt2,gpt2-medium,15,4479, Union,0.8146668986185163,0.9942541771592532,0.8193748815279337
gpt2,gpt2-medium,16,11,",",0.6124665266194351,0.9765806432681803,0.6271540715468029
gpt2,gpt2-medium,17,4474, establish,0.01926055486195186,0.9978071956571305,0.01930288230610258
gpt2,gpt2-medium,18,4796, Justice,0.24300449084771078,0.9142835231569202,0.26578679883527057
gpt2,gpt2-medium,19,11,",",0.21818911169213406,0.99845006264497,0.21852781611744762
gpt2,gpt2-medium,20,38976, insure,0.8614803386841945,0.99937454266226,0.8620194951026814
gpt2,gpt2-medium,21,5928, domestic,0.025743022105120868,0.9967639602213886,0.025826598003606746
gpt2,gpt2-medium,22,833, Tr,0.035717263565956746,0.9996270140875114,0.03573059057288533
gpt2,gpt2-medium,23,26184,anqu,0.8825099148317243,0.9980878508414786,0.8842006383382869
gpt2,gpt2-medium,24,879,ility,0.9246469526738558,0.8434227839345294,1.0963030289037476
gpt2,gpt2-medium,25,11,",",0.8346765692731918,0.992520783504457,0.8409663385849325
gpt2,gpt2-medium,26,2148, provide,0.022960013454788382,0.9955793216524901,0.023061962975163764
gpt2,gpt2-medium,27,329, for,0.9829992601579977,0.9999636424897494,0.9830350008631182
gpt2,gpt2-medium,28,262, the,0.8238994398201648,0.9998127572732814,0.8240537378890097
gpt2,gpt2-medium,29,2219, common,0.4009467230931044,0.9930422240465114,0.4037559666489319
gpt2,gpt2-medium,30,9366, defence,0.12019584877891767,0.7986701257738398,0.1504949852261704
gpt2,gpt2-medium,31,11,",",0.8005875149466484,0.9958343710619383,0.803936415744435
gpt2,gpt2-medium,32,7719, promote,0.24869752559504787,0.9891288605716938,0.2514308655914725
gpt2,gpt2-medium,33,262, the,0.8143942793205937,0.999455272034096,0.8148381444455586
gpt2,gpt2-medium,34,2276, general,0.3222141812259479,0.9991602802420534,0.3224849782338118
gpt2,gpt2-medium,35,32404, Welfare,0.9707631445689052,0.975601156059406,0.9950409945084094
gpt2,gpt2-medium,36,11,",",0.897966383895579,0.9957034024604384,0.9018412327171468
gpt2,gpt2-medium,37,290, and,0.17704117391684684,0.9872129417273852,0.17933433247650438
gpt2,gpt2-medium,38,5713, secure,0.9068047789917547,0.9987993369054047,0.9078948548377314
gpt2,gpt2-medium,39,262, the,0.8052666081511086,0.7000640721658886,1.1502755821474169
gpt2,gpt2-medium,40,49629, Bless,0.9344377015057869,0.9921642685137796,0.9418175307860414
gpt2,gpt2-medium,41,654,ings,0.998062200698958,0.9992558537091356,0.9988054580758803
gpt2,gpt2-medium,42,286, of,0.9342362260322888,0.9958039898828767,0.9381728086289058
gpt2,gpt2-medium,43,14734, Liberty,0.9766399943415008,0.995312238852228,0.9812398122098253
gpt2,gpt2-medium,44,284, to,0.9124677455375885,0.9937737266447305,0.9181846139345475
gpt2,gpt2-medium,45,6731, ourselves,0.9745116527686024,0.9998691253359875,0.9746392083475284
gpt2,gpt2-medium,46,290, and,0.986521340915987,0.9929991999116472,0.9934764710825178
gpt2,gpt2-medium,47,674, our,0.8788685672846986,0.9942220071197325,0.8839761753320936
gpt2,gpt2-medium,48,2947, Post,0.6877010862464014,0.9998796131114907,0.6877838864084529
gpt2,gpt2-medium,49,32821,erity,0.9934777252557059,0.9999797348316635,0.9934978586570535
gpt2,gpt2-medium,50,11,",",0.6311060072908806,0.9717336133080449,0.649464008085945
gpt2,gpt2-medium,51,466, do,0.02428086487965147,0.9949138300988372,0.02440499281956845
gpt2,gpt2-medium,52,2760, ord,0.8204251838052644,0.9992005069228743,0.8210816328865121
gpt2,gpt2-medium,53,391,ain,0.9973150059562377,0.9998862872718773,0.9974284262636952
gpt2,gpt2-medium,54,290, and,0.8224314921428747,0.99901796548452,0.8232399421806178
gpt2,gpt2-medium,55,4474, establish,0.9565685699982548,0.9994326474291275,0.9571115897192939
gpt2,gpt2-medium,56,428, this,0.5753184700394427,0.9971864926753605,0.5769416997375442
gpt2,gpt2-medium,57,7965, Constitution,0.8497881464447469,0.9908389476225843,0.8576450779248492
gpt2,gpt2-medium,58,329, for,0.5063380176368455,0.9918913906476025,0.5104772784712439
gpt2,gpt2-medium,59,262, the,0.8529766243585356,0.9810060222029562,0.8694917309917053
gpt2,gpt2-medium,60,1578, United,0.20895890345277326,0.9960558431130536,0.20978633366548724
gpt2,gpt2-medium,61,1829, States,0.9940079455712598,0.9976795046758035,0.9963199012434993
gpt2,gpt2-medium,62,286, of,0.9058502356996732,0.994698055395128,0.9106786032067173
gpt2,gpt2-medium,63,2253, America,0.9958499763406373,0.99933132567039,0.9965163212236771
gpt2,gpt2-medium,64,10172, Article,2.8043910495756548e-05,5.303096186476622e-08,528.8214565534578
gpt2,gpt2-medium,65,13,.,0.0003341652994947505,0.013845081848945728,0.024136029179213297
gpt2,gpt2-medium,66,314, I,0.0955472377492589,0.03611990541561381,2.645279289905228
gpt2,gpt2-medium,67,13,.,0.11141462999372696,0.1503680723140519,0.7409460550975973
gpt2,gpt2-medium,68,44513, SECTION,0.0012054435504114424,0.0016876431617117295,0.7142763220092063
gpt2,gpt2-medium,69,13,.,0.34199030382343515,0.017320147874350406,19.74523002369352
gpt2,gpt2-medium,70,352, 1,0.01486900337289233,0.2805305559416583,0.05300315084387678
gpt2,gpt2-medium,71,1439, All,0.00032335389278510373,0.00022368376830642095,1.4455849668186305
gpt2,gpt2-medium,72,10828, legislative,0.0056885652341679,0.3595483775735819,0.01582141817064306
gpt2,gpt2-medium,73,20668, Powers,0.299454716625149,0.6377446380214701,0.4695526998928177
gpt2,gpt2-medium,74,24028, herein,0.16453119770219493,0.9452060260075618,0.1740691374949811
gpt2,gpt2-medium,75,7520, granted,0.1704818744632007,0.9534342267960026,0.17880821735978764
gpt2,gpt2-medium,76,2236, shall,0.23907799925354878,0.9575535886854907,0.249675842771108
gpt2,gpt2-medium,77,307, be,0.6656299434632458,0.9898805387237445,0.6724346195566631
gpt2,gpt2-medium,78,32789, vested,0.7163407417002772,0.9969008944749418,0.7185676587014871
gpt2,gpt2-medium,79,287, in,0.8804534253292563,0.9992728755917769,0.8810940903482896
gpt2,gpt2-medium,80,257, a,0.017423443034190564,0.9802826478017087,0.017773897225726445
gpt2,gpt2-medium,81,3162, Congress,0.007322053957060128,0.9737120285927835,0.007519732469200385
gpt2,gpt2-medium,82,286, of,0.24638534600799186,0.6523302798741378,0.3777003055193606
gpt2,gpt2-medium,83,262, the,0.3604663980436841,0.9808942930707127,0.36748750664583385
gpt2,gpt2-medium,84,1578, United,0.7336996376404507,0.9863445625173223,0.7438573349742225
gpt2,gpt2-medium,85,1829, States,0.998841080582522,0.9984555293028293,1.000386147673459
gpt2,gpt2-medium,86,11,",",0.45737205555989063,0.9291528017807864,0.49224632878823055
gpt2,gpt2-medium,87,543, which,0.06937022561688158,0.9474172956778608,0.0732203496108316
gpt2,gpt2-medium,88,2236, shall,0.954785183336116,0.9915499775266283,0.9629218949888735
gpt2,gpt2-medium,89,3473, consist,0.7726316692246972,0.9766046328407612,0.7911406962889941
gpt2,gpt2-medium,90,286, of,0.9471716809703239,0.9942872922984956,0.9526136845023389
gpt2,gpt2-medium,91,257, a,0.01293608674151838,0.8895919150724684,0.014541596570675414
gpt2,gpt2-medium,92,2311, Sen,0.00014260574142743938,1.298337855286851e-05,10.983715898504128
gpt2,gpt2-medium,93,12,-,0.04568922995179032,0.030186988964398285,1.5135404861238382
gpt2,gpt2-medium,94,15063, ate,0.0054057009475531334,0.10465270596913119,0.05165371403915368
gpt2,gpt2-medium,95,290, and,0.032856238241436304,0.33499933320408976,0.09807851832773495
gpt2,gpt2-medium,96,2097, House,0.0008913858143148759,0.24330429572250492,0.003663666568927025
gpt2,gpt2-medium,97,286, of,0.9626316457345432,0.9972768279239616,0.9652602153992292
gpt2,gpt2-medium,98,17132, Representatives,0.990531123870995,0.8351450777397719,1.1860587462860444
gpt2,gpt2-medium,99,13,.,0.0908594426242229,0.7568361909592982,0.12005166204995765
gpt2,gpt2-medium,100,44513, SECTION,0.0002786179845743284,0.005549634926900229,0.05020474107653629
gpt2,gpt2-medium,101,13,.,0.3782742407264393,0.22719589645951765,1.6649695114270744
gpt2,gpt2-medium,102,362, 2,0.9793433999416131,0.9984197593916357,0.9808934475999891
gpt2,gpt2-medium,103,383, The,0.48180254146043305,0.26863473099570906,1.7935228988247574
gpt2,gpt2-medium,104,2097, House,0.09513013348342554,0.08244899427835396,1.1538058689019188
gpt2,gpt2-medium,105,286, of,0.887092648958323,0.97751516763004,0.9074975799189449
gpt2,gpt2-medium,106,17132, Representatives,0.9949219720407838,0.9875884621500503,1.0074256739236989
gpt2,gpt2-medium,107,2236, shall,0.6929763829317069,0.9786676872485445,0.7080813967404619
gpt2,gpt2-medium,108,307, be,0.2456650095618459,0.2601698670460125,0.944248510986857
gpt2,gpt2-medium,109,13160, composed,0.672398037324925,0.9483958763374793,0.7089845644643622
gpt2,gpt2-medium,110,286, of,0.9658931346862605,0.9871259304108659,0.9784902867299131
gpt2,gpt2-medium,111,4942, Mem,3.619718569633768e-07,0.00013063656640591222,0.0027708310691407995
gpt2,gpt2-medium,112,12,-,0.835948354089655,0.9282641479986194,0.9005500814525675
gpt2,gpt2-medium,113,275, b,0.6801390054246791,0.9408041765011936,0.7229336586855768
gpt2,gpt2-medium,114,364,ers,0.9541179626328592,0.9921808142430494,0.961637182392779
gpt2,gpt2-medium,115,7147, chosen,0.0047523894642762625,0.32297919646133727,0.014714227777965118
gpt2,gpt2-medium,116,790, every,0.0006567450638940106,0.678608541674776,0.0009677819001116501
gpt2,gpt2-medium,117,1218, second,0.002002574480829648,0.7836652154184061,0.0025553953926109314
gpt2,gpt2-medium,118,6280, Year,0.07189525618737418,0.925178266131468,0.07770962507365889
gpt2,gpt2-medium,119,416, by,0.2725342751530727,0.5413497502182357,0.5034347481331714
gpt2,gpt2-medium,120,262, the,0.727745688140811,0.901605028587345,0.807166846974067
gpt2,gpt2-medium,121,4380, People,0.46654060369274103,0.6208297441860423,0.7514791423281648
gpt2,gpt2-medium,122,286, of,0.6910093836162862,0.7571753659655392,0.9126147186987796
gpt2,gpt2-medium,123,262, the,0.923398385854296,0.9580718596205671,0.9638091094962302
gpt2,gpt2-medium,124,1811, several,0.00561117128405466,0.7024825265514958,0.007987631111054164
gpt2,gpt2-medium,125,1829, States,0.9588387582041762,0.913752107677909,1.049342321782266
gpt2,gpt2-medium,126,11,",",0.43210446471560754,0.6084694407106613,0.7101498215110549
gpt2,gpt2-medium,127,290, and,0.4163079542108893,0.44159422646938395,0.9427386710631106
gpt2,gpt2-medium,128,262, the,0.11939578565548038,0.1220359834952546,0.9783654151492385
gpt2,gpt2-medium,129,5903, Elect,0.01056709151453557,0.0443760414988362,0.23812605085139693
gpt2,gpt2-medium,130,669,ors,0.4250646306380286,0.9056213955342369,0.46936239882813047
gpt2,gpt2-medium,131,287, in,0.0061630010491550225,0.7194028099242809,0.008566829270243877
gpt2,gpt2-medium,132,1123, each,0.5443110862133911,0.8926089842684557,0.6097979023362456
gpt2,gpt2-medium,133,1812, State,0.5010899834338625,0.9065192249416196,0.5527626658619765
gpt2,gpt2-medium,134,2236, shall,0.255936083515466,0.8857851791977805,0.28893696747924463
gpt2,gpt2-medium,135,423, have,0.05908102329649362,0.8342109962343288,0.07082263787361757
gpt2,gpt2-medium,136,262, the,0.23747099047181927,0.9166420959911501,0.2590662064401982
gpt2,gpt2-medium,137,9537, Qual,0.01226736122196843,0.9747196643365595,0.012585527583788081
gpt2,gpt2-medium,138,22238,ifi,0.008858220019586993,0.0012004313946743777,7.379197227668162
gpt2,gpt2-medium,139,12,-,0.9906235326390522,0.9658738915314816,1.0256240916382238
gpt2,gpt2-medium,140,269, c,0.8628203747657855,0.5333515570447769,1.617732925627043
gpt2,gpt2-medium,141,602,ations,0.10377891714152195,0.2601390713064106,0.39893629442262296
gpt2,gpt2-medium,142,37088, requisite,0.09134084284343234,0.9557583641622361,0.09556897043061358
gpt2,gpt2-medium,143,329, for,0.21739392478980255,0.6338522019199702,0.3429725796192005
gpt2,gpt2-medium,144,5903, Elect,0.023162583884523854,0.8994229001808781,0.02575271752572205
gpt2,gpt2-medium,145,669,ors,0.23747280223860665,0.7176099726947265,0.33092182560794525
gpt2,gpt2-medium,146,286, of,0.14871746194871518,0.9819289239362835,0.15145440604045732
gpt2,gpt2-medium,147,262, the,0.41747967411795567,0.8658660383994135,0.48215272987225927
gpt2,gpt2-medium,148,749, most,0.008954179944238617,0.8435937006265373,0.010614327652741297
gpt2,gpt2-medium,149,6409, numerous,0.09104588851482134,0.9794082312377769,0.09296010142752986
gpt2,gpt2-medium,150,20551, Branch,0.0011783249255375185,0.8595098352691191,0.0013709266342119006
gpt2,gpt2-medium,151,286, of,0.5719925034312897,0.9699113415395069,0.5897368954603477
gpt2,gpt2-medium,152,262, the,0.42310898638984434,0.8434891957493386,0.5016175530428258
gpt2,gpt2-medium,153,1812, State,0.12132646190797489,0.8984911425308753,0.1350335647897672
gpt2,gpt2-medium,154,20815, Legislature,0.240540129371839,0.7854301787617196,0.30625272096249945
gpt2,gpt2-medium,155,13,.,0.4950688567155167,0.6708915505130707,0.7379268025315092
gpt2,gpt2-medium,156,1400, No,0.0037238096272288715,0.009984999788331684,0.37294038118863637
gpt2,gpt2-medium,157,7755, Person,0.2263485099550558,0.7905905000908389,0.28630309866997944
gpt2,gpt2-medium,158,2236, shall,0.4021734308531888,0.4312305149126064,0.9326182098562613
gpt2,gpt2-medium,159,307, be,0.5969122679394625,0.9870773779696844,0.6047269254283275
gpt2,gpt2-medium,160,257, a,0.038201758016383945,0.33721579952156355,0.11328578930935025
gpt2,gpt2-medium,161,19920, Representative,0.15775770332119884,0.23232138429557816,0.6790494288742988
gpt2,gpt2-medium,162,508, who,0.002752601441859149,0.4470121147588927,0.0061577781697120994
gpt2,gpt2-medium,163,2236, shall,0.7555913190522974,0.9399113260295691,0.8038963869539827
gpt2,gpt2-medium,164,407, not,0.4961451045285752,0.9747890955189795,0.5089768718272608
gpt2,gpt2-medium,165,423, have,0.3630239923920193,0.8391356189942973,0.4326165928066586
gpt2,gpt2-medium,166,28681, attained,0.07556916659568753,0.9573278208888147,0.07893760626900681
gpt2,gpt2-medium,167,284, to,0.12254920119507005,0.9562527823912615,0.1281556545002843
gpt2,gpt2-medium,168,262, the,0.7626262483054246,0.9939760269611048,0.767248130356837
gpt2,gpt2-medium,169,7129, Age,0.019143798517311454,0.7094613059171597,0.02698356958673484
gpt2,gpt2-medium,170,286, of,0.939752748571141,0.9996536977640263,0.940078299788348
gpt2,gpt2-medium,171,8208, twenty,0.17210408613625439,0.16624775250931692,1.0352265431474585
gpt2,gpt2-medium,172,1936, five,0.006231139555297545,0.5799699755574629,0.01074390023260811
gpt2,gpt2-medium,173,13212, Years,0.5967684759794739,0.9591700783292845,0.6221716976606962
gpt2,gpt2-medium,174,11,",",0.4464996716058818,0.8808200682566344,0.5069135998338656
gpt2,gpt2-medium,175,290, and,0.28629974115199985,0.9934477231469087,0.28818802890311984
gpt2,gpt2-medium,176,587, been,0.004491386300125891,0.9571959722702542,0.004692232761357457
gpt2,gpt2-medium,177,3598, seven,0.0002674610122647761,0.7289941725820879,0.00036689046678855153
gpt2,gpt2-medium,178,13212, Years,0.6079977277110619,0.9788467499088449,0.6211367895614729
gpt2,gpt2-medium,179,257, a,0.17553473223682348,0.9763486562369561,0.17978693483675146
gpt2,gpt2-medium,180,22307, Citizen,0.38768242211225573,0.8983488333949006,0.4315499811439465
gpt2,gpt2-medium,181,286, of,0.6022534439212632,0.9745158421885894,0.6180027228379469
gpt2,gpt2-medium,182,262, the,0.7142159117933947,0.9803559684838336,0.7285271215290942
gpt2,gpt2-medium,183,1578, United,0.8705139042588554,0.9739891293963835,0.8937614168223259
gpt2,gpt2-medium,184,1829, States,0.9923027585681781,0.9874938285460865,1.0048698329883963
gpt2,gpt2-medium,185,11,",",0.2942262308541884,0.7593272709609837,0.38748276547716215
gpt2,gpt2-medium,186,290, and,0.18167378970105033,0.9524498761766593,0.19074367506910536
gpt2,gpt2-medium,187,508, who,0.04300756569342425,0.46894530206787677,0.09171126249431792
gpt2,gpt2-medium,188,2236, shall,0.6235535966310317,0.9338154480015352,0.6677482129531087
gpt2,gpt2-medium,189,407, not,0.307005320010002,0.9259480646650678,0.33155781811699275
gpt2,gpt2-medium,190,11,",",0.023615353830687535,0.5377044255164976,0.04391883851058797
gpt2,gpt2-medium,191,618, when,0.019940283173041144,0.8107576708836235,0.0245946278267201
gpt2,gpt2-medium,192,7018, elected,0.06420497300571713,0.9790165104815213,0.06558109318722156
gpt2,gpt2-medium,193,11,",",0.6653946747831321,0.90266534091171,0.7371443708152904
gpt2,gpt2-medium,194,307, be,0.35807060062704654,0.5719771275100546,0.6260225862278945
gpt2,gpt2-medium,195,281, an,0.027234881956232714,0.8823678030840484,0.03086567966446811
gpt2,gpt2-medium,196,554, In,0.006233187075212929,0.7651167073275629,0.008146714109778769
gpt2,gpt2-medium,197,5976,hab,0.5442420184503988,0.9357763510337896,0.5815941147146461
gpt2,gpt2-medium,198,23737,itant,0.5083858230150178,0.9287922184139534,0.5473622764445204
gpt2,gpt2-medium,199,286, of,0.7314278783297412,0.9535626585749255,0.7670475261928157
gpt2,gpt2-medium,200,326, that,0.009099460633638836,0.18478326310068016,0.04924396550287645
gpt2,gpt2-medium,201,1812, State,0.8233561014064723,0.9593114690389516,0.85827817969415
gpt2,gpt2-medium,202,287, in,0.054121297054933175,0.3556190326506208,0.15218897777078438
gpt2,gpt2-medium,203,543, which,0.2172267571785351,0.9943180527154175,0.2184680812998447
gpt2,gpt2-medium,204,339, he,0.7731176521770783,0.9558954808591784,0.8087888975917998
gpt2,gpt2-medium,205,2236, shall,0.49030936733005387,0.9098851611925503,0.538869506001642
gpt2,gpt2-medium,206,307, be,0.14969418061357112,0.6954247123163791,0.21525576811177324
gpt2,gpt2-medium,207,7147, chosen,0.019691749047154938,0.951938749465355,0.020685941252222975
gpt2,gpt2-medium,208,13,.,0.4032278985785505,0.6953425207471714,0.5798982322341903
